Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
00:00 01 Jan 2015,  72293,  4.41,  4.57,  4.56,  111.98,  14.10, 52.40,  0.00,  0.00,  0.00,  268.17,  9.11 
12:00 01 Jan 2015,  72293,  17.05,  16.37,  16.37,  71.99,  -18.30,  23.20,  0.00,  0.00,  0.00,  267.27,  6.56  
00:00 02 Jan 2015,  72293,  10.44,  6.64,  6.61,  60.00,  -0.10,  36.20,  0.00,  0.00,  0.00,  271.19,  8.23  
12:00 02 Jan 2015,  72293,  14.62,  15.52,  15.50,  68.01,  -13.10,  25.20,  0.00,  0.00,  0.00,  269.05,  6.89  
00:00 03 Jan 2015,  72293,  16.11,  11.36,  11.29,  63.00,  -17.50,  16.00,  0.00,  0.00,  0.00,  274.82,  8.05  
12:00 03 Jan 2015,  72293,  14.35,  11.73,  11.68,  41.98,  -8.10,  23.60,  0.00,  0.00,  0.00,  277.98,  11.55  
00:00 04 Jan 2015,  72293,  14.73,  11.37,  11.29,  29.00,  -14.70,  24.80,  0.00,  0.00,  0.00,  276.12,  9.44  
12:00 04 Jan 2015,  72293,  11.36,  12.07,  12.04,  26.98,  -5.10,  29.60,  0.00,  0.00,  0.00,  276.48,  10.66  
00:00 05 Jan 2015,  72293,  11.33,  11.42,  11.38,  25.00,  -5.50,  28.80,  0.00,  0.00,  0.00,  272.51,  10.93  
12:00 05 Jan 2015,  72293,  13.75,  16.97,  16.87,  27.97,  -11.50,  21.80,  0.00,  0.00,  0.00,  266.99,  9.59  
00:00 06 Jan 2015,  72293,  14.54,  12.53,  12.34,  42.02,  -6.10,  21.60,  0.00,  0.00,  0.00,  269.31,  10.24  
12:00 06 Jan 2015,  72293,  12.52,  16.79,  16.68,  60.00,  -8.10,  24.00,  0.00,  0.00,  0.00,  258.57,  6.88  
00:00 07 Jan 2015,  72293,  10.87,  10.59,  10.40,  47.01,  -20.90,  28.60,  0.00,  0.00,  0.00,  267.29,  6.64  
12:00 07 Jan 2015,  72293,  12.76,  14.76,  14.62,  39.01,  -33.30,  18.80,  0.00,  0.00,  0.00,  264.23,  4.25  
00:00 08 Jan 2015,  72293,  11.55,  13.77,  13.96,  21.99,  -13.90,  27.60,  0.00,  0.00,  0.00,  264.30,  9.44  
12:00 08 Jan 2015,  72293,  8.84,  14.51,  14.73,  20.01,  -2.10,  35.40,  0.00,  0.00,  0.00,  265.19,  15.91  
00:00 09 Jan 2015,  72293,  9.16,  8.53,  8.62,  23.99,  7.10,  35.40,  0.00,  0.00,  0.00,  278.17,  20.00  
12:00 09 Jan 2015,  72293,  10.50,  12.54,  12.80,  10.00,  10.40,  29.60,  0.00,  0.00,  0.00,  268.20,  18.25  
