Date, Station, CAPE, CINS
00Z 01 Jan 2015,  72293,  0.00,  0.00
 12Z 01 Jan 2015,  72293,  0.00,  0.00
 00Z 02 Jan 2015,  72293,  0.00,  0.00
 12Z 02 Jan 2015,  72293,  0.00,  0.00
 00Z 03 Jan 2015,  72293,  0.00,  0.00
 12Z 03 Jan 2015,  72293,  0.00,  0.00
 00Z 04 Jan 2015,  72293,  0.00,  0.00
 12Z 04 Jan 2015,  72293,  0.00,  0.00
 00Z 05 Jan 2015,  72293,  0.00,  0.00
 12Z 05 Jan 2015,  72293,  0.00,  0.00
 00Z 06 Jan 2015,  72293,  0.00,  0.00
 12Z 06 Jan 2015,  72293,  0.00,  0.00
 00Z 07 Jan 2015,  72293,  0.00,  0.00
 12Z 07 Jan 2015,  72293,  0.00,  0.00
 00Z 08 Jan 2015,  72293,  0.00,  0.00
 12Z 08 Jan 2015,  72293,  0.00,  0.00
 00Z 09 Jan 2015,  72293,  0.00,  0.00
 12Z 09 Jan 2015,  72293,  0.00,  0.00
 00Z 10 Jan 2015,  72293,  0.00,  0.00
 12Z 10 Jan 2015,  72293,  0.00,  0.00
 00Z 11 Jan 2015,  72293,  0.00,  0.00
 12Z 11 Jan 2015,  72293,  0.00,  0.00
 00Z 12 Jan 2015,  72293,  45.65,  -0.07
 12Z 12 Jan 2015,  72293,  31.49,  0.00
 00Z 13 Jan 2015,  72293,  1.14,  -30.75
 12Z 13 Jan 2015,  72293,  16.35,  -0.57
 00Z 14 Jan 2015,  72293,  6.81,  -77.41
 12Z 14 Jan 2015,  72293,  0.00,  0.00
 00Z 15 Jan 2015,  72293,  0.00,  0.00
 12Z 15 Jan 2015,  72293,  0.00,  0.00
 00Z 16 Jan 2015,  72293,  0.00,  0.00
 12Z 16 Jan 2015,  72293,  0.00,  0.00
 00Z 17 Jan 2015,  72293,  0.00,  0.00
 12Z 17 Jan 2015,  72293,  0.00,  0.00
 00Z 18 Jan 2015,  72293,  0.00,  0.00
 12Z 18 Jan 2015,  72293,  0.00,  0.00
 00Z 19 Jan 2015,  72293,  0.00,  0.00
 12Z 19 Jan 2015,  72293,  0.00,  0.00
 00Z 20 Jan 2015,  72293,  0.00,  0.00
