PRES,   HGHT  , TEMP  , DWPT ,  RELH  , MIXR ,  DRCT  , SKNT  , THTA ,  THTE ,  THTV
996,137,25.8,17.8,61,13.04,295,9,299.3,337.6,301.6
983,252,22.6,17.6,73,13.05,281,7,297.2,335.2,299.5
977,305,21.6,17.1,76,12.72,275,6,296.7,333.7,299
972,350,20.8,16.7,77,12.45,281,6,296.3,332.5,298.6
943.1,610,19,15,78,11.47,315,3,297.1,330.5,299.1
937,666,18.6,14.6,78,11.27,281,3,297.2,330.1,299.2
933,703,19.6,12.6,64,9.92,259,3,298.6,327.8,300.4
928,750,23.4,1.4,24,4.58,232,3,302.9,317.1,303.8
925,778,25,-2,17,3.59,215,3,304.9,316.2,305.5
917,854,26,-5,13,2.89,232,2,306.6,315.9,307.2
910.8,914,26,-7.1,11,2.48,245,2,307.3,315.3,307.7
879.6,1219,26.1,-17.7,5,1.08,305,5,310.5,314.2,310.7
868,1336,26.2,-21.8,3,0.77,315,6,311.7,314.4,311.9
850,1519,25.4,-8.6,10,2.36,330,7,312.7,320.6,313.2
837,1654,24.6,-8.4,11,2.43,326,7,313.3,321.4,313.7
831,1717,24.2,-1.8,18,4.05,324,8,313.5,326.7,314.3
820.2,1829,23.3,-2.3,18,3.96,320,8,313.8,326.7,314.5
791.6,2134,21,-3.6,19,3.71,305,5,314.4,326.6,315.2
764,2438,18.6,-4.9,20,3.48,335,3,315.1,326.6,315.8
737.4,2743,16.3,-6.3,21,3.26,55,1,315.8,326.6,316.4
723,2912,15,-7,21,3.14,64,1,316.1,326.6,316.7
706,3113,14.2,-13.8,13,1.87,76,1,317.4,323.9,317.8
700,3185,13.8,-13.2,14,1.99,80,1,317.7,324.6,318.1
681,3415,12,-7,26,3.34,34,5,318.2,329.4,318.9
661.5,3658,10.6,-14.2,16,1.93,345,10,319.4,326,319.7
661,3664,10.6,-14.4,16,1.91,344,10,319.4,326,319.8
614.3,4267,5.8,-15.2,20,1.92,235,5,320.7,327.3,321
614,4271,5.8,-15.2,20,1.92,235,5,320.7,327.3,321
602,4432,4.6,-25.4,9,0.81,250,5,321.1,324.1,321.2
569.6,4877,0.9,-25.7,12,0.83,290,5,321.8,324.9,322
564,4957,0.2,-25.8,12,0.83,291,5,321.9,325,322.1
533,5407,-1.9,-31.9,8,0.5,298,8,324.7,326.6,324.8
500,5910,-6.1,-35.1,8,0.39,305,11,325.5,327,325.6
